Sexo,Edad,REdad,EstCiv,ZONA,Region,Prov,Dis,TVidaAño,Ingreso,T_Plazo,T_Micro,T_Convenios,T_TC,T_EI,Deu_TOTAL_SBS,Deu_Emp_SBS,Deu_Pequ_SBS,Deu_Micr_SBS,Deu_ConR_SBS,Deu_ConN_SBS,Deu_Hipo_SBS,Lin_TCre_SBS,Deu_TCre_SBS,Deu_Conv_SBS,Deu_PLD_SBS,Deu_Vehi_SBS,Deu_Otro_SBS,Deu_HipTrad_SBS,Deu_MiViv_SBS
Femenino,52.0,[50 - 55>,Casado,ZONA 7,LIMA,LIMA,SAN ISIDRO,21.284931506849315,2878.26,1.0,0.0,0.0,0.0,0.0,3287.406646,,,,3287.406646,,,25693.730729,3287.406646,,,,,,
Masculino,48.0,[45 - 50>,Soltero,ZONA 7,LIMA,LIMA,SAN ISIDRO,21.252054794520546,1641.74,1.0,0.0,0.0,1.0,0.0,3278.57828,,,,3278.57828,,,9683.624528,3278.57828,,,,,,
Masculino,51.0,[50 - 55>,Casado,ZONA 7,LIMA,LIMA,SAN ISIDRO,21.17808219178082,6492.96,1.0,0.0,0.0,1.0,1.0,25921.685508,,,,21709.407331,4212.278177,,124185.710859,25921.685508,,,,,,
Femenino,54.0,[50 - 55>,Soltero,ZONA 6,LIMA,LIMA,SAN MIGUEL,20.410958904109588,1624.0,1.0,0.0,0.0,0.0,0.0,4581.202466,,,,281.891058,4299.311408,,2980.472764,281.891058,,4299.311408,,,,
Femenino,37.0,[35 - 40>,Casado,ZONA 7,LIMA,LIMA,SAN ISIDRO,20.35890410958904,2614.56,1.0,0.0,0.0,0.0,0.0,23376.4988,,,,2477.386091,20899.112709,,8882.288454,2477.386091,,15170.91127,5728.201438,,,
Masculino,59.0,[55 - 60>,Casado,ZONA 7,LIMA,LIMA,SAN ISIDRO,20.17808219178082,4194.75,1.0,0.0,0.0,0.0,0.0,2772.754367,,,,2772.754367,,,57879.410757,2772.754367,,,,,,
Femenino,37.0,[35 - 40>,Soltero,ZONA 7,LIMA,LIMA,SAN ISIDRO,19.991780821917807,2227.8,1.0,0.0,0.0,0.0,0.0,52.052072,,,,52.052072,,,16946.163069,52.052072,,,,,,
Femenino,43.0,[40 - 45>,Soltero,ZONA 10,CALLAO,CALLAO,BELLAVISTA,19.24931506849315,1604.39,1.0,0.0,0.0,0.0,0.0,4735.17643,,,,4735.17643,,,49657.416923,4735.17643,,,,,,
Femenino,36.0,[35 - 40>,Casado,ZONA 7,LIMA,LIMA,SAN ISIDRO,19.008219178082193,2449.2,1.0,0.0,0.0,0.0,0.0,1583.254539,,,,1583.254539,,,5999.482699,1583.254539,,,,,,
Femenino,59.0,[55 - 60>,Casado,ZONA 7,LIMA,LIMA,SAN ISIDRO,18.682191780821917,4972.8,1.0,0.0,0.0,0.0,0.0,91256.70435,,,,4838.746145,,86417.958204,61431.778006,4838.746145,,,,,86417.958204,
Femenino,56.0,[55 - 60>,Casado,ZONA 7,LIMA,LIMA,SAN ISIDRO,18.46301369863014,1928.8,1.0,0.0,0.0,1.0,0.0,7758.74272,,,,7758.74272,,,11967.249057,7758.74272,,,,,,
Femenino,50.0,[50 - 55>,Casado,ZONA 7,LIMA,LIMA,SAN ISIDRO,18.454794520547946,2216.74,1.0,0.0,0.0,1.0,1.0,5707.266187,,,,5707.266187,,,20195.272353,3319.212058,,2388.054128,,,,
Femenino,57.0,[55 - 60>,Casado,ZONA 7,LIMA,LIMA,SANTIAGO DE SURCO,18.334246575342465,3419.24,1.0,0.0,0.0,0.0,0.0,5861.562178,,,,5861.562178,,,44177.858855,5861.562178,,,,,,
